repo_id,language,bytes
1237925337,TypeScript,753821
1237925337,Astro,127299
1237925337,JavaScript,72094
1237925337,MDX,47146
1237925337,CSS,25414
1237925337,Swift,11846
1237925337,C#,9465
1237925337,PowerShell,1838
1237925337,Shell,1658
1237925337,VBScript,547
1246700632,Python,41368
1246700632,C,20076
1246700632,Shell,3529
1225430807,Java,686222
1225430807,Vue,423221
1225430807,TypeScript,93532
1225430807,CSS,12786
1225430807,Smalltalk,3605
1225430807,StringTemplate,1462
1225430807,HTML,915
1225430807,JavaScript,472
1225430807,Dockerfile,162
1239210589,TypeScript,77806786
1239210589,CSS,1022946
1239210589,JavaScript,857033
1239210589,Rust,500641
1239210589,HTML,393890
1239210589,Inno Setup,310715
1239210589,Scilab,202892
1239210589,Shell,119708
1239210589,Batchfile,18993
1239210589,PowerShell,15796
1239210589,Tree-sitter Query,12860
1239210589,SCSS,6732
1239210589,Groovy,3928
1239210589,Cuda,3634
1239210589,C++,2745
1239210589,Makefile,2307
1239210589,Python,2171
1239210589,Perl,1922
1239210589,Ruby,1703
1239210589,TeX,1602
1239210589,Nix,1560
1239210589,Objective-C,1387
1239210589,Objective-C++,1387
1239210589,Clojure,1206
1239210589,Handlebars,1064
1239210589,Less,1029
1239210589,PHP,998
1239210589,Dockerfile,960
1239210589,Julia,940
1239210589,Jupyter Notebook,929
1239210589,Visual Basic .NET,893
1239210589,C#,864
1239210589,C,818
1239210589,Raku,761
1239210589,Pug,654
1239210589,Go,652
1239210589,F#,634
1239210589,Java,599
1239210589,CoffeeScript,590
1239210589,R,362
1239210589,Roff,351
1239210589,ShaderLab,330
1239210589,Dart,324
1239210589,Swift,284
1239210589,Lua,252
1239210589,HLSL,184
1239210589,Hack,16
1235653880,Swift,749737
1235653880,Shell,22463
1235653880,C,13511
1235653880,Logos,11327
1235653880,Makefile,2123
1235653880,Objective-C,1805
1245952606,Python,135133
1227965254,TypeScript,151732
1227965254,CSS,773
1227965254,HTML,592
1238548469,Python,471625
1238548469,Shell,19247
1233888013,JavaScript,152431
1233888013,Python,76552
1226383350,Go,626409
1226383350,TypeScript,512017
1226383350,CSS,10538
1226383350,Shell,2936
1226383350,PowerShell,2575
1226383350,Dockerfile,894
1226383350,Makefile,882
1226383350,HTML,771
1252170363,TypeScript,55959
1252170363,HTML,17918
1225813560,Makefile,3069
1238442407,Go,857675
1238442407,JavaScript,167902
1238442407,CSS,35798
1238442407,Python,35217
1238442407,Shell,20005
1238442407,HTML,12705
1228378600,Python,39629
1228378600,HTML,23636
1245933910,C#,21165
1241132845,HTML,9826
1241132845,JavaScript,2872
1239181413,C,120123272
1239181413,C++,6108497
1239181413,Python,2326987
1239181413,Jupyter Notebook,2145219
1239181413,Assembly,768800
1239181413,CMake,276743
1239181413,Makefile,205408
1239181413,HTML,100236
1239181413,M4,95713
1239181413,DIGITAL Command Language,63988
1239181413,Meson,51787
1239181413,Shell,45539
1239181413,Perl,23810
1239181413,Ruby,22994
1239181413,CSS,12647
1239181413,TypeScript,10151
1239181413,Vue,8096
1239181413,JavaScript,5284
1239181413,Handlebars,4521
1239181413,Awk,3962
1239181413,Batchfile,3069
1239181413,Roff,2888
1239181413,Dockerfile,495
1239181413,Linker Script,125
1234645765,Swift,77249
1234645765,Shell,11710
1234645765,C,8045
1231664875,Rust,928963
1231664875,TypeScript,68034
1231664875,HCL,6364
1231664875,Shell,2539
1231664875,CSS,281
1231664875,JavaScript,199
1231947446,Go,111279
1231947446,TypeScript,18952
1231947446,Makefile,1015
1231947446,JavaScript,956
1231947446,Shell,237
1249534702,Python,139196
1227783290,Python,46493
1233301160,Python,3859
1233301160,PowerShell,1193
1229492049,Python,2587734
1229492049,HTML,270427
1229492049,Shell,35067
1229492049,PowerShell,23861
1229492049,Dockerfile,4360
1237484347,C,161937
1237484347,Python,18768
1237484347,Shell,5537
1237484347,Makefile,528
1229916708,Dockerfile,1305
1229916708,Shell,237
1239240779,C,6610
1239240779,Makefile,372
1245114544,Swift,245188
1245114544,Objective-C,3919
1239781767,JavaScript,597215
1239781767,Dockerfile,1224
1239781767,Shell,498
1239594204,TypeScript,1817012
1239594204,HTML,47360
1239594204,JavaScript,23405
1227634482,Python,576737
1227634482,JavaScript,73450
1227634482,HTML,42198
1227634482,CSS,41132
1227634482,Shell,2640
1227634482,Dockerfile,1555
1227634482,TypeScript,1059
1228169468,Python,91441
1228169468,Shell,619
1228169468,Dockerfile,152
1225724797,TypeScript,719798
1225724797,Rust,208966
1225724797,CSS,37327
1225724797,Shell,9388
1225724797,JavaScript,5256
1225724797,HTML,1765
1227920501,JavaScript,209687
1227920501,CSS,194563
1227920501,Python,122275
1227920501,Rust,80737
1227920501,HTML,46661
1227920501,Shell,20292
1227920501,PowerShell,9436
1227920501,Dockerfile,4359
1237570742,Python,1220792
1237570742,TypeScript,623221
1237570742,TeX,185781
1237570742,BibTeX Style,99306
1237570742,CSS,16564
1237570742,Shell,15297
1237570742,JavaScript,2791
1237570742,Mako,651
1237570742,HTML,371
1233537154,TypeScript,9770
1242719319,Python,3948855
1242719319,TypeScript,420872
1242719319,Shell,87649
1242719319,Dockerfile,14512
1242719319,Go Template,8567
1242719319,Just,8186
1234266468,PowerShell,90632
1230498812,TypeScript,327303
1230498812,Python,287792
1230498812,JavaScript,161871
1230498812,CSS,73287
1230498812,Shell,56386
1230498812,HTML,48848
1230498812,Dockerfile,1192
1228438586,Python,34568
1238043239,Python,1094243
1238043239,TypeScript,987748
1238043239,CSS,112993
1238043239,JavaScript,10346
1238043239,Shell,6066
1233418417,TypeScript,8873090
1233418417,Vue,2565375
1233418417,JavaScript,255360
1233418417,CSS,50720
1233418417,Shell,24672
1233418417,Dockerfile,2317
1233418417,HTML,881
1225427533,Go,370243
1225427533,Shell,5039
1225427533,Makefile,948
1226911245,Python,3212558
1226911245,Metal,249244
1226911245,C++,95025
1226911245,Shell,21961
1226911245,CMake,1740
1245699721,TypeScript,1532599
1245699721,JavaScript,63847
1245699721,CSS,55498
1245699721,Shell,24345
1245699721,PowerShell,7335
1245699721,HTML,499
1226632695,Go,1049895
1226632695,Shell,12302
1226632695,PowerShell,3318
1233111215,Rust,3335490
1233111215,Nix,3337
1228653314,TypeScript,957765
1231442651,Python,283210
1231442651,Shell,5322
1232897321,TypeScript,259926
1232897321,Vue,144896
1232897321,JavaScript,32520
1232897321,CSS,4784
1232897321,HTML,911
1228004380,JavaScript,446697
1228004380,HTML,25151
1228004380,CSS,20966
1234044955,Dockerfile,705
1234044955,Shell,281
1238193136,JavaScript,1905
1238193136,Batchfile,1264
1241425259,Python,48607
1238220753,Python,22394
1238220753,Batchfile,2725
1238220753,Shell,1505
1235483809,Java,292000
1235483809,JavaScript,47854
1235483809,CSS,35877
1235483809,Python,19471
1235483809,HTML,8783
1235483809,Shell,3294
1235483809,Dockerfile,713
1235175101,Python,165877
1242413123,Python,200709
1241479513,Python,906411
1241479513,HTML,222231
1241479513,JavaScript,147455
1241479513,CSS,56393
1241479513,Dockerfile,2505
1241479513,Shell,446
1239522492,Python,8923174
1239522492,Swift,2133652
1239522492,TypeScript,887767
1239522492,CSS,285211
1239522492,Shell,61411
1239522492,MDX,40011
1239522492,JavaScript,23148
1239522492,Makefile,18594
1239522492,HTML,11353
1239522492,Dockerfile,415
1231009237,Python,309283
1244071529,TypeScript,3655125
1244071529,PLpgSQL,107138
1244071529,JavaScript,68827
1244071529,Astro,20691
1244071529,MDX,4086
1244071529,Dockerfile,2783
1244071529,Shell,2734
1244071529,CSS,2516
1244071529,HTML,365
1244071529,Makefile,224
1225594874,Python,1009313
1225594874,Cuda,27197
1225594874,Shell,24393
1225594874,C++,12051
1242867671,Python,115694
1238377818,PowerShell,17069
1238377818,Batchfile,431
1238377818,VBScript,67
1226211658,Shell,254
1231342524,Rust,3076740
1231342524,Shell,83858
1231342524,C,949
1226278857,Python,20911905
1226278857,TypeScript,1993775
1226278857,TeX,434546
1226278857,BibTeX Style,156486
1226278857,Shell,110815
1226278857,HTML,94222
1226278857,Nix,79075
1226278857,JavaScript,47367
1226278857,CSS,39359
1226278857,PowerShell,35628
1226278857,Dockerfile,2208
1226278857,Ruby,1585
1226278857,Batchfile,1250
1226278857,Makefile,1054
1227432942,TypeScript,557744
1227432942,Python,81063
1227432942,CSS,2734
1227432942,JavaScript,1708
1227432942,HTML,702
1237819660,PowerShell,86777
1237819660,Java,81881
1237819660,Shell,72770
1237819660,JavaScript,14422
1237819660,Python,13327
1237819660,Batchfile,1481
1230541272,TypeScript,124565
1230541272,JavaScript,26987
1235604959,Python,8595263
1235604959,TypeScript,2354513
1235604959,CSS,101093
1235604959,Shell,74042
1235604959,PowerShell,59308
1235604959,HTML,54721
1235604959,JavaScript,30157
1235604959,Inno Setup,2028
1235604959,Makefile,1682
1235604959,Dockerfile,1233
1235604959,Batchfile,994
1225688424,Go,3827525
1225688424,TypeScript,1231922
1225688424,Shell,173245
1225688424,JavaScript,158921
1225688424,Python,47371
1225688424,PowerShell,8422
1225688424,Dockerfile,2621
1246386725,Python,431300
1246386725,JavaScript,102571
1246386725,CSS,88906
1246386725,HTML,35407
1246386725,Shell,4059
1246386725,Batchfile,2465
1228202170,Python,250362
1228202170,HTML,89302
1228202170,JavaScript,81077
1228202170,PureBasic,84
1227764627,HTML,45376
1250957639,JavaScript,1218575
1250957639,Python,113638
1250957639,HTML,98543
1250957639,Shell,22867
1234904564,TypeScript,7144953
1234904564,Python,861813
1234904564,JavaScript,430588
1234904564,MDX,226809
1234904564,CSS,30584
1234904564,Shell,9586
1234904564,LookML,7703
1234345172,Python,334661
1234345172,Shell,4179
1232370714,TypeScript,1769522
1232370714,JavaScript,236174
1232370714,Shell,75617
1232370714,Dockerfile,42193
1232370714,HTML,20695
1232370714,CSS,5804
1232370714,Python,3900
1225256461,JavaScript,218201
1225256461,Objective-C,17963
1225256461,Swift,13967
1249107749,TypeScript,25663
1249107749,JavaScript,11152
1228490158,Go,92227
1228490158,Shell,2129
1228490158,Batchfile,838
1229167008,C#,10302
1237911785,Python,658219
1239993295,Shell,18782
1225734196,C++,673670
1225734196,HTML,25385
1225734196,JavaScript,12328
1225734196,CMake,10150
1225734196,Java,10101
1233569086,TypeScript,1171720
1233569086,Rust,148199
1233569086,MDX,33928
1233569086,CSS,23327
1233569086,JavaScript,17988
1233569086,HTML,1958
1233569086,Python,1048
1239864142,Shell,5223
1228881105,Shell,473628
1225492439,TypeScript,2237736
1225492439,JavaScript,17406
1225492439,CSS,3307
1228217659,Python,220185
1228217659,Dockerfile,5934
1239811673,TypeScript,351571
1239811673,JavaScript,218685
1239811673,CSS,47309
1239811673,Shell,8014
1239811673,HTML,373
1233119393,TeX,9384158
1233119393,Python,1537043
1233119393,BibTeX Style,542940
1233119393,Shell,49653
1231072198,Rust,4088588
1231072198,Python,193024
1231072198,Shell,40519
1231072198,HTML,27635
1228093729,Python,146506
1228093729,CSS,12647
1228093729,JavaScript,6191
1231330338,Swift,24963
1231741292,TypeScript,1502909
1231741292,Go,75159
1231741292,JavaScript,71900
1231741292,Python,53878
1231741292,PowerShell,25143
1231741292,CSS,20189
1231741292,Shell,17168
1231741292,HTML,16754
1231741292,Dockerfile,7258
1231741292,Makefile,686
1226966899,Rust,414193
1226966899,Nix,1797
1226966899,Ruby,612
1252751767,TypeScript,41338
1232997470,Python,239448
1249261520,Python,161342
1249261520,Shell,38062
1245136531,Python,941245
1245136531,Just,551
1233543984,Swift,1625557
1233543984,HTML,27414
1233543984,JavaScript,13937
1233543984,Shell,12387
1233543984,CSS,5946
1233543984,Python,5203
1235536039,Python,592834
1235536039,Swift,414449
1235536039,Shell,4398
1235536039,Batchfile,609
1235536039,PowerShell,535
1249337147,C#,139
1249337147,TypeScript,109
1249337147,Java,105
1249337147,JavaScript,94
1249337147,C++,88
1249337147,Python,87
1249337147,Go,70
1249337147,Rust,68
1249337147,C,64
1249337147,Kotlin,61
1249337147,PHP,58
1249337147,Dart,57
1249337147,Lua,56
1249337147,Swift,54
1249337147,Ruby,51
1231982666,MDX,643998
1231982666,Astro,504002
1231982666,TypeScript,502030
1231982666,HTML,204572
1231982666,Python,37898
1231982666,JavaScript,9183
1231982666,CSS,8220
1231982666,Shell,2369
1226446524,Python,48949
1227490532,TypeScript,2606621
1227490532,JavaScript,593540
