full_name,stars,forks,age_days,stars_per_day,primary_language,license,desc_len,score,tier,reasons
Smart-Paocai/VioletToolBox,170,19,12,14.2,C#,GPL-3.0,17,2,訊號完整,"desc:short, topics:none"
phileiny/h3-storyboard-skill,169,4,28,6.0,Unknown,MIT,170,2,訊號完整,"generic-name:h3-storyboard-skill, topics:none"
TokenRhythm/NeoHorse,900,9,19,47.4,Python,Apache-2.0,94,2,訊號完整,low-forks:0.010
LivXue/dsh-plugin-shop,895,11,29,30.9,TypeScript,Apache-2.0,129,2,訊號完整,low-forks:0.012
MariusOTB/OpenTrade-Agent,134,201,29,4.6,TypeScript,NOASSERTION,42,2,訊號完整,"license:none, generic-name:OpenTrade-Agent"
yy549159265/SmartCV,197,1,29,6.8,Vue,,23,2,訊號完整,"license:none, topics:none"
JourniOne-ai/JourniOne-Planning-Skills,195,28,7,27.9,JavaScript,,65,2,訊號完整,"license:none, generic-name:JourniOne-Planning-Skills"
Andonywang123/Epost,198,1,17,11.6,Python,,193,2,訊號完整,"license:none, topics:none"
pyq623/QuaNAG,198,3,26,7.6,Python,,129,2,訊號完整,"license:none, topics:none"
kryvora-network/kryvora-node,631,17,1,631.0,Go,NOASSERTION,74,2,訊號完整,"license:none, overnight-surge:631/day"
truanayangi-com/truanayangi,629,134,15,41.9,TypeScript,,111,2,訊號完整,"license:none, topics:none"
arsumbris/arsumbris,178,8,10,17.8,Python,NOASSERTION,50,2,訊號完整,"license:none, topics:none"
zeldaboyzlix/corz-client,314,40,1,314.0,Unknown,,89,2,訊號完整,"license:none, overnight-surge:314/day"
framepipe-dev/media-inference-worker,314,90,28,11.2,Python,,38,2,訊號完整,"license:none, topics:none"
AlayaLab/WorldSculpt,312,25,21,14.9,Python,NOASSERTION,93,2,訊號完整,"license:none, topics:none"
suversal/WrapPin,198,46,9,22.0,Swift,NOASSERTION,23,2,訊號完整,"license:none, topics:none"
Straniero44/wenai,201,46,29,6.9,Unknown,,126,2,訊號完整,"license:none, topics:none"
emo-xiaoyu/harness-mix,201,9,16,12.6,TypeScript,Apache-2.0,0,2,訊號完整,desc:empty
yureii1996/cek-probe-model,197,0,13,15.2,Python,,43,2,訊號完整,"license:none, topics:none"
Work-Fisher/AIFISHER,173,31,9,19.2,TypeScript,NOASSERTION,80,2,訊號完整,"license:none, topics:none"
kydlikebtc/awesome-grokbot,318,24,22,14.5,Python,NOASSERTION,160,2,訊號完整,"license:none, generic-name:awesome-grokbot"
benjiyaya/ComfyUI-Qwen-Image-2.1-Prompt-Enhancer,143,16,3,47.7,Python,MIT,85,2,訊號完整,"generic-name:ComfyUI-Qwen-Image-2.1-Prompt-Enhancer, topics:none"
Tejashmakwana/astra-chatgpt-hyperframes,140,11,17,8.2,JavaScript,NOASSERTION,131,2,訊號完整,"license:none, topics:none"
